family_id	family_number	n_spans	newick
family_052	52	12	(1,2,(3,(4,(5,6,(((((7,((8,9,10)8-10,(11,12)11-12)8-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_053	53	12	(1,2,(3,(4,(5,6,(((((7,(8,9,(10,(11,12)11-12)10-12)8-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_054	54	12	(1,2,(3,(4,(5,6,((7,(((8,9,10)8-10,(11,12)11-12)8-12,13,14,(15,16,17)15-17,18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_055	55	12	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_056	56	12	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_057	57	12	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_058	58	12	(1,2,(3,(4,(5,6,((7,((8,9,(10,(11,12)11-12)10-12)8-12,13,14,(15,16,17)15-17,18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_059	59	12	(1,2,(3,(4,(5,6,((7,(8,9,((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_060	60	12	(1,2,(3,(4,(5,6,((7,(8,9,(10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_061	61	12	(1,2,(3,(4,(5,6,((7,(8,9,(10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_062	62	12	(1,2,(3,(4,(5,6,((7,(8,9,(10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_063	63	11	(1,2,(3,(4,(5,6,((((((7,8)7-8,9,10,11,(12,13,14,15)12-15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_064	64	11	(1,2,(3,(4,(5,6,((((7,8)7-8,9,(10,(11,12)11-12)10-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_065	65	11	(1,2,(3,(4,(5,6,(((((7,(8,9,10)8-10,11,(12,13,14,15)12-15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_066	66	11	(1,2,(3,(4,(5,6,(((7,((8,9,10)8-10,(11,12)11-12)8-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_067	67	11	(1,2,(3,(4,(5,6,(((7,(8,9,(10,(11,12)11-12)10-12)8-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_068	68	10	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,11,(12,13,14,15)12-15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_069	69	10	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,11,(12,13,14,15)12-15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
