tree_number	newick	group_spans	group_convergence
58	(1,(2,(3,4,((5,((6,7,(8,(9,10)9-10)8-10)6-10,11,12,(13,14,15)13-15,16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;6-10;8-10;9-10;13-15;17-19	5;2;4;5;1;7;3;1;1;1;1
59	(1,(2,(3,4,((5,(6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;8-16;8-10;9-10;13-15;17-19	5;2;4;5;1;7;2;1;1;1;1
60	(1,(2,(3,4,((5,(6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;8-16;9-16;9-10;13-15;17-19	5;2;4;5;1;7;2;1;1;1;1
61	(1,(2,(3,4,((5,(6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;8-16;9-16;10-16;10-13;17-19	5;2;4;5;1;7;2;1;1;1;1
62	(1,(2,(3,4,((5,(6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;8-16;9-16;10-16;13-15;17-19	5;2;4;5;1;7;2;1;1;1;1
63	(1,(2,(3,4,((((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;5-13;5-6;10-13	5;2;4;5;1;2;10;1;1;1
64	(1,(2,(3,4,((((5,6)5-6,7,(8,(9,10)9-10)8-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-13;5-6;8-10;9-10;17-19	5;2;4;5;1;1;1;1;1;1
65	(1,(2,(3,4,(((((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;5-13;6-8;10-13	5;2;4;5;1;2;10;1;3;1
66	(1,(2,(3,4,(((5,((6,7,8)6-8,(9,10)9-10)6-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-13;6-10;6-8;9-10;17-19	5;2;4;5;1;1;3;3;1;1
67	(1,(2,(3,4,(((5,(6,7,(8,(9,10)9-10)8-10)6-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-13;6-10;8-10;9-10;17-19	5;2;4;5;1;1;3;1;1;1
68	(1,(2,(3,4,((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-13;5-6;10-13;17-19	5;2;4;5;1;1;1;1;1
69	(1,(2,(3,4,(((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-13;6-8;10-13;17-19	5;2;4;5;1;1;3;1;1
