Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
89	Chácobo	chac1251	chac1251_n_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	stress	NA
90	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	4	10	1	0.04	7	0.58	12	12	26	chac1251_nominal	tone	NA
91	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	maximal	h.deletion	1	12	2	0.08	12	1	12	12	26	chac1251_nominal	tone	NA
92	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_minimal_h.deletion	phonological	suprasegmental	tone.deletion	minimal	h.deletion	3	12	3	0.12	10	0.83	12	12	26	chac1251_nominal	tone	NA
93	Chácobo	chac1251	chac1251_n_suprasegmental_tone.insertion_maximal_h.tone.insertion	phonological	suprasegmental	tone.insertion	maximal	h.tone.insertion	3	6	3	0.12	4	0.33	12	12	26	chac1251_nominal	tone	NA
94	Chácobo	chac1251	chac1251_n_suprasegmental_tone.insertion_minimal_h.tone.insertion	phonological	suprasegmental	tone.insertion	minimal	h.tone.insertion	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	tone	NA
95	Chácobo	chac1251	chac1251_v_ciscategorial.selection_broad	morphosyntactic	ciscategorial.selection	broad	NA	NA	1	28	1	0.03	28	1	28	28	38	chac1251_verbal	morphosyntactic	NA
96	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_maximal	morphosyntactic	ciscategorial.selection	narrow	maximal	NA	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	morphosyntactic	NA
97	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_minimal	morphosyntactic	ciscategorial.selection	narrow	minimal	NA	8	16	1	0.03	9	0.32	28	28	38	chac1251_verbal	morphosyntactic	NA
98	Chácobo	chac1251	chac1251_v_deviations_cumulative.exponence_optional	indeterminate	deviations	cumulative.exponence	NA	optional	7	9	1	0.03	3	0.11	28	28	38	chac1251_verbal	indeterminate	NA
100	Chácobo	chac1251	chac1251_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	7	25	2	0.05	19	0.68	28	28	38	chac1251_verbal	indeterminate	NA
101	Chácobo	chac1251	chac1251_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	indeterminate	NA
102	Chácobo	chac1251	chac1251_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	7	20	1	0.03	14	0.5	28	28	38	chac1251_verbal	morphosyntactic	NA
103	Chácobo	chac1251	chac1251_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	7	11	2	0.05	5	0.18	28	28	38	chac1251_verbal	morphosyntactic	NA
104	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	maximal	NA	7	26	1	0.03	20	0.71	28	28	38	chac1251_verbal	morphosyntactic	NA
105	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	morphosyntactic	NA
106	Chácobo	chac1251	chac1251_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	7	12	1	0.03	6	0.21	28	28	38	chac1251_verbal	morphosyntactic	NA
107	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_maximal_asyndetic	morphosyntactic	recursion.based	asyndetic	maximal	asyndetic	6	17	2	0.05	12	0.43	28	28	38	chac1251_verbal	morphosyntactic	NA
108	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_minimal_asyndetic	indeterminate	recursion.based	asyndetic	minimal	asyndetic	7	13	1	0.03	7	0.25	28	28	38	chac1251_verbal	indeterminate	NA
109	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_maximal_agentive.nominalization	morphosyntactic	recursion.based	nominalization	maximal	agentive.nominalization	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	morphosyntactic	NA
110	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_maximal_instrumental.nominalization	morphosyntactic	recursion.based	nominalization	maximal	instrumental.nominalization	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	morphosyntactic	NA
111	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_minimal_agentive.nominalization	indeterminate	recursion.based	nominalization	minimal	agentive.nominalization	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	indeterminate	NA
112	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_minimal_instrumental.nominalization	indeterminate	recursion.based	nominalization	minimal	instrumental.nominalization	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	indeterminate	NA
113	Chácobo	chac1251	chac1251_v_recursion.based_reduplication_maximal	morphosyntactic	recursion.based	reduplication	maximal	NA	7	22	2	0.05	16	0.57	28	28	38	chac1251_verbal	morphosyntactic	NA
114	Chácobo	chac1251	chac1251_v_recursion.based_reduplication_minimal	indeterminate	recursion.based	reduplication	minimal	NA	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	indeterminate	NA
115	Chácobo	chac1251	chac1251_v_recursion.based_same.subject_maximal_same.subject	morphosyntactic	recursion.based	same.subject	maximal	same.subject	6	17	2	0.05	12	0.43	28	28	38	chac1251_verbal	morphosyntactic	NA
116	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_maximal_different.subject	morphosyntactic	recursion.based	syndetic	maximal	different.subject	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	morphosyntactic	NA
117	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_minimal_different.subject	indeterminate	recursion.based	syndetic	minimal	different.subject	7	22	2	0.05	16	0.57	28	28	38	chac1251_verbal	indeterminate	NA
118	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_minimal_same.subject	indeterminate	recursion.based	syndetic	minimal	same.subject	7	11	2	0.05	5	0.18	28	28	38	chac1251_verbal	indeterminate	NA
119	Chácobo	chac1251	chac1251_v_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	NA	alveolarization	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	assimilation	NA
120	Chácobo	chac1251	chac1251_v_segmental_consonant.deletion_latent.stop.deletion	phonological	segmental	consonant.deletion	NA	latent.stop.deletion	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	deletion	NA
121	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_maximal_glottal.insertion	phonological	segmental	consonant.insertion	maximal	glottal.insertion	6	28	1	0.03	23	0.82	28	28	38	chac1251_verbal	insertion	NA
122	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_minimal_glottal.insertion	phonological	segmental	consonant.insertion	minimal	glottal.insertion	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	insertion	NA
123	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_minimal_glottal.stop.insertion	phonological	segmental	consonant.insertion	minimal	glottal.stop.insertion	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	insertion	NA
125	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_maximal	phonological	segmental	vowel.insertion	maximal	NA	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	insertion	NA
126	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_maximal_same.vowel.insertion	phonological	segmental	vowel.insertion	maximal	same.vowel.insertion	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	size-related	NA
127	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_minimal_same.vowel.insertion	phonological	segmental	vowel.insertion	minimal	same.vowel.insertion	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	size-related	NA
128	Chácobo	chac1251	chac1251_v_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	7	25	2	0.05	19	0.68	28	28	38	chac1251_verbal	stress	NA
129	Chácobo	chac1251	chac1251_v_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	stress	NA
130	Chácobo	chac1251	chac1251_v_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	8	12	1	0.03	5	0.18	28	28	38	chac1251_verbal	tone	NA
131	Chácobo	chac1251	chac1251_v_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	maximal	h.deletion	1	27	1	0.03	27	0.96	28	28	38	chac1251_verbal	tone	NA
132	Chácobo	chac1251	chac1251_v_suprasegmental_tone.deletion_minimal_h.deletion	phonological	suprasegmental	tone.deletion	minimal	h.deletion	6	27	1	0.03	22	0.79	28	28	38	chac1251_verbal	deletion	NA
133	Chácobo	chac1251	chac1251_v_suprasegmental_tone.insertion_maximal_h.insertion	phonological	suprasegmental	tone.insertion	maximal	h.insertion	1	24	1	0.03	24	0.86	28	28	38	chac1251_verbal	tone	NA
134	Chácobo	chac1251	chac1251_v_suprasegmental_tone.insertion_minimal_h.insertion	phonological	suprasegmental	tone.insertion	minimal	h.insertion	7	17	1	0.03	11	0.39	28	28	38	chac1251_verbal	insertion	NA
135	Oklahoma Cherokee	cher1273	cher1273_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	Ciscat. Sel. Max.
136	Oklahoma Cherokee	cher1273	cher1273_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	12	22	1	0.05	11	0.46	24	24	21	cher1273_verbal	morphosyntactic	Ciscat. Sel. Min.
137	Oklahoma Cherokee	cher1273	cher1273_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	4	22	1	0.05	19	0.79	24	24	21	cher1273_verbal	indeterminate	Dev. Biunique. Max.
138	Oklahoma Cherokee	cher1273	cher1273_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	4	13	1	0.05	10	0.42	24	24	21	cher1273_verbal	indeterminate	Dev. Biunique. Min.
139	Oklahoma Cherokee	cher1273	cher1273_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	indeterminate	Min Free Form Max.
140	Oklahoma Cherokee	cher1273	cher1273_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	9	22	1	0.05	14	0.58	24	24	21	cher1273_verbal	indeterminate	Min Free Form Min.
141	Oklahoma Cherokee	cher1273	cher1273_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	Non-interrupt.
142	Oklahoma Cherokee	cher1273	cher1273_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	maximal	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	Nonpermutability Max.
143	Oklahoma Cherokee	cher1273	cher1273_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	2	17	1	0.05	16	0.67	24	24	21	cher1273_verbal	morphosyntactic	Nonpermutability Min.
144	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_asyndetic_maximal	morphosyntactic	recursion.based	asyndetic	maximal	NA	1	24	1	0.05	24	1	24	24	21	cher1273_verbal	morphosyntactic	Rep. Subspan Max.
145	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_asyndetic_minimal	indeterminate	recursion.based	asyndetic	minimal	NA	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	indeterminate	Rep. Subspan Min.
146	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_nominalization_maximal	morphosyntactic	recursion.based	nominalization	maximal	NA	1	21	1	0.05	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	Nominaliz. Max.
147	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_nominalization_minimal	indeterminate	recursion.based	nominalization	minimal	NA	2	20	1	0.05	19	0.79	24	24	21	cher1273_verbal	indeterminate	Nominaliz. Min.
