Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
siks1238	preliminary	verbal	constituency	Segmental	Phonological	Consonant insertion	Maximal	glottal.insertion.vowel.coalescence.construction 2	3	13		insertion	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Vowel insertion	Maximal	NA	7	24		insertion	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	glottal.insertion	7	8		insertion	NA
siks1238	preliminary	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	glottal.insertion.vowel.coalescence.construction 2	3	11		insertion	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	glottal stop insertion	7	10		insertion	NA
chac1251	NA	nominal	constituency	Segmental	Phonological	Consonant insertion	NA	glottal stop insertion	3	4		insertion	NA
chac1251	NA	verbal	constituency	Suprasegmental	Phonological	Tone insertion	Minimal	H.insertion	7	17		insertion	NA
moco1246	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	NA	NA	7	11	Ciscat. Sel.	morphosyntactic	NA
teot1238	NA	nominal	constituency	Ciscategorial.selection	Morphosyntactic	NA	NA	NA	7	8	Ciscat. Sel.	morphosyntactic	NA
cher1273	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	2	22	Ciscat. Sel. Max.	morphosyntactic	NA
ayau1235	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	15	28	Ciscat. Sel. Max.	morphosyntactic	NA
cent2127	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	4	16	Ciscat. Sel. Max.	morphosyntactic	NA
hupd1244	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	2	18	Ciscat. Sel. Max.	morphosyntactic	NA
teot1238	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	4	14	Ciscat. Sel. Max.	morphosyntactic	NA
yucu1253	NA	verbal	constituency	Ciscategorial.selection	Morphosyntactic	NA	Maximal	NA	10	19	Ciscat. Sel. Max.	morphosyntactic	NA
