Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
teot1238	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	8	8	Min Free Form Min.	indeterminate	NA
teot1238	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	10	12	Min Free Form Min.	indeterminate	NA
cher1273	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	9	22	Min Free Form Min.	indeterminate	NA
ayau1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	19	19	Min Free Form Min.	indeterminate	NA
cher1273	NA	verbal	constituency	Recursion.based	Indeterminate	Nominalization	Minimal	NA	2	20	Nominaliz. Min.	indeterminate	NA
zenz1235	noncomparable	verbal	constituency	Play.language	Indeterminate	Play language	NA	NA	10	13	Play Lang.	indeterminate	NA
cher1273	NA	verbal	constituency	Recursion.based	Indeterminate	Asyndetic	Minimal	NA	2	23	Rep. Subspan Min.	indeterminate	NA
cent2127	NA	verbal	constituency	Repair	Indeterminate	NA	Maximal	NA	2	20	Repair Max.	indeterminate	NA
cent2127	NA	verbal	constituency	Repair	Indeterminate	NA	Minimal	NA	2	16	Repair Min.	indeterminate	NA
arao1248	NA	verbal	constituency	Recursion.based	Indeterminate	NA	Minimal	NA	6	6	Subspan Rep. Min.	indeterminate	NA
kaya1330	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	finiteness	13	15		indeterminate	NA
chac1251	NA	verbal	constituency	Deviations	Indeterminate	Cumulative.exponence	NA	optional	7	9		indeterminate	NA
iyoj1235	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	NA	NA	14	29		indeterminate	NA
iyoj1235	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	Inflectional.class	16	18		indeterminate	NA
siks1238	preliminary	verbal	constituency	Deviations	Indeterminate	Allomorphy	Maximal	inseperable.root.nasal.deletion.vowel.coalescence	6	11		indeterminate	NA
siks1238	preliminary	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	k-assibilation	3	8		indeterminate	NA
kiow1266	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	NA	29	34		indeterminate	NA
mart1259	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	patient.pronouns	18	20		indeterminate	NA
iyoj1235	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	Realis.Irrealis	14	18		indeterminate	NA
mart1259	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	recipient.pronouns	18	19		indeterminate	NA
siks1238	preliminary	verbal	constituency	Deviations	Indeterminate	Allomorphy	Minimal	seperable.root.nasal.deletion.vowel.coalescence	4	11		indeterminate	NA
kaya1330	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	NA	13	15		indeterminate	NA
chac1251	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	3	12		indeterminate	NA
chac1251	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	4	4		indeterminate	NA
